epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1783,1.32693,4.10914,1.17124,0.00333,1,0.00731,0.00616,0.51274,3.6305,0.91748,0.00016,0.00016,0.00016
2,13.655,1.10876,3.23727,0.99309,0.00333,1,0.65186,0.40083,0.66187,3.40576,0.89397,0.000333268,0.000333268,0.000333268
3,19.4841,1.45175,2.33432,1.24104,0.00333,1,0.35505,0.28067,0.82003,3.30006,0.93305,0.000499408,0.000499408,0.000499408
4,22.7486,1.15329,2.50217,1.01226,0.00333,1,0.01423,0.00885,0.84414,3.67928,0.99052,0.00065842,0.00065842,0.00065842
5,25.4307,1.22578,1.77531,1.13443,0.00333,1,0.61299,0.43346,1.05047,3.43721,1.06283,0.000810304,0.000810304,0.000810304
6,28.0615,1.34388,1.56169,1.18575,0.00602,0.88889,0.60433,0.4484,1.14231,3.37496,1.1112,0.00095506,0.00095506,0.00095506
7,31.0211,1.21248,1.56798,1.13719,0.77514,0.66667,0.66513,0.43793,1.22568,3.31345,1.25043,0.00109269,0.00109269,0.00109269
8,34.834,1.25965,1.45281,1.13695,1,0.86638,0.995,0.68678,1.05101,2.55214,1.02552,0.00122319,0.00122319,0.00122319
9,39.003,1.24853,1.37901,1.13308,0.9724,1,0.995,0.67529,1.09251,2.00393,1.01994,0.00134656,0.00134656,0.00134656
10,41.833,1.31453,1.50702,1.27819,0.87449,1,0.94,0.6475,1.03536,2.07264,1.04743,0.0014628,0.0014628,0.0014628
11,44.4885,1.41602,1.58893,1.25401,0.97867,1,0.995,0.64404,1.09935,1.64428,1.07988,0.00157192,0.00157192,0.00157192
12,47.0351,1.16591,1.16865,1.11952,0.90909,1,0.995,0.76934,0.96407,1.07624,0.9751,0.0015644,0.0015644,0.0015644
13,50.2821,1.25939,1.36548,1.16816,0.92644,1,0.995,0.74327,1.02819,1.05658,1.01695,0.0015248,0.0015248,0.0015248
14,54.4682,1.27331,1.16159,1.09824,0.98357,1,0.995,0.78176,0.84077,0.92718,0.93522,0.0014852,0.0014852,0.0014852
15,57.8187,1.11904,1.51926,1.03047,0.9446,1,0.995,0.73031,0.95771,0.84107,0.9732,0.0014456,0.0014456,0.0014456
16,60.5587,1.22006,1.16722,1.1063,0.99213,1,0.995,0.68081,0.94155,0.88383,1.00115,0.001406,0.001406,0.001406
17,63.2707,1.17381,1.13431,1.12112,0.99366,1,0.995,0.61841,1.16503,0.87559,1.06699,0.0013664,0.0013664,0.0013664
18,65.8662,1.11178,1.04961,1.10191,0.99202,1,0.995,0.76074,0.95817,0.78699,0.98804,0.0013268,0.0013268,0.0013268
19,69.3122,1.10563,1.24215,1.0071,0.9744,1,0.995,0.76087,0.98862,0.6854,0.99271,0.0012872,0.0012872,0.0012872
20,73.6798,1.1672,0.98874,1.06414,0.99234,1,0.995,0.66866,1.13211,0.86178,1.00973,0.0012476,0.0012476,0.0012476
21,76.5572,1.0957,0.93399,1.08859,0.99076,1,0.995,0.69507,1.00441,0.77399,0.97938,0.001208,0.001208,0.001208
22,79.0738,1.12562,0.88825,1.05346,0.99242,1,0.995,0.75627,0.84043,0.66032,0.93244,0.0011684,0.0011684,0.0011684
23,81.705,1.01264,1.50471,0.9611,0.89489,1,0.973,0.73643,0.80311,0.6885,0.91893,0.0011288,0.0011288,0.0011288
24,84.5448,1.05482,0.86612,1.10358,0.99511,1,0.995,0.78149,0.74352,0.5614,0.91187,0.0010892,0.0010892,0.0010892
25,88.5241,1.10647,0.86827,1.03981,0.99445,1,0.995,0.78534,0.7862,0.60835,0.91656,0.0010496,0.0010496,0.0010496
26,92.3141,1.14626,0.92,1.08965,0.9956,1,0.995,0.84176,0.74704,0.62668,0.91513,0.00101,0.00101,0.00101
27,95.0053,1.03593,0.85992,1.0123,0.99498,1,0.995,0.81856,0.77137,0.61128,0.91618,0.0009704,0.0009704,0.0009704
28,97.7793,1.18747,0.91713,1.14071,0.99286,1,0.995,0.78321,0.85868,0.56856,0.93466,0.0009308,0.0009308,0.0009308
29,100.451,0.97165,0.78443,1.03465,0.99387,1,0.995,0.78442,0.79907,0.58908,0.93885,0.0008912,0.0008912,0.0008912
30,103.875,1.00698,0.75867,1.01613,0.99275,1,0.995,0.77695,0.86873,0.59654,0.94703,0.0008516,0.0008516,0.0008516
31,108.404,1.04911,0.79523,1.06203,0.99268,1,0.995,0.77877,0.95356,0.639,0.96247,0.000812,0.000812,0.000812
32,111.741,0.97802,0.70896,1.00023,0.99357,1,0.995,0.79993,0.81182,0.55674,0.93274,0.0007724,0.0007724,0.0007724
33,114.245,1.00972,0.72521,1.04841,0.99381,1,0.995,0.82588,0.70167,0.49483,0.9132,0.0007328,0.0007328,0.0007328
34,116.808,0.90264,0.90041,0.9058,0.99298,1,0.995,0.84498,0.67256,0.49191,0.91387,0.0006932,0.0006932,0.0006932
35,119.598,0.94658,0.71427,1.01761,0.99305,1,0.995,0.85429,0.66019,0.5495,0.90551,0.0006536,0.0006536,0.0006536
36,123.463,0.93595,0.71604,1.05574,0.99263,1,0.995,0.84117,0.65358,0.46604,0.89837,0.000614,0.000614,0.000614
37,127.801,1.1141,0.78881,1.04878,0.99311,1,0.995,0.85121,0.67886,0.45642,0.90364,0.0005744,0.0005744,0.0005744
38,130.636,1.05166,0.69716,1.02695,0.99291,1,0.995,0.78757,0.77436,0.46427,0.9256,0.0005348,0.0005348,0.0005348
39,133.232,1.05065,0.69395,1.04114,0.99334,1,0.995,0.81906,0.71874,0.44923,0.92323,0.0004952,0.0004952,0.0004952
40,135.859,1.14021,0.75252,1.10327,0.99383,1,0.995,0.83098,0.65481,0.43206,0.91303,0.0004556,0.0004556,0.0004556
41,141.881,0.97778,0.68744,1.03091,0.99331,1,0.995,0.83009,0.67108,0.43826,0.91265,0.000416,0.000416,0.000416
42,146.528,0.8978,0.6982,1.01987,0.99332,1,0.995,0.82792,0.67148,0.44036,0.9107,0.0003764,0.0003764,0.0003764
43,149.263,0.87949,0.62979,0.99026,0.99342,1,0.995,0.83428,0.67701,0.43647,0.90778,0.0003368,0.0003368,0.0003368
44,151.936,1.28977,0.80255,1.28511,0.99373,1,0.995,0.87132,0.64086,0.37976,0.90183,0.0002972,0.0002972,0.0002972
45,154.596,0.88749,0.62985,1.00501,0.99369,1,0.995,0.85772,0.66918,0.37966,0.89857,0.0002576,0.0002576,0.0002576
46,157.723,0.90233,0.69581,1.02956,0.9935,1,0.995,0.85552,0.68783,0.3786,0.89783,0.000218,0.000218,0.000218
47,161.446,0.97712,0.67488,1.05942,0.99344,1,0.995,0.85332,0.67029,0.37255,0.89514,0.0001784,0.0001784,0.0001784
48,164.794,1.04807,0.66837,1.0834,0.99372,1,0.995,0.85861,0.62095,0.37028,0.89422,0.0001388,0.0001388,0.0001388
