epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.552,1.24108,3.80334,1.13576,0.00333,1,0.0574,0.02509,0.51038,3.86962,0.90863,0.00016,0.00016,0.00016
2,238.654,1.14761,3.13607,1.01498,0.00333,1,0.88746,0.6352,0.65151,3.61737,0.88799,0.000333268,0.000333268,0.000333268
3,344.595,1.10338,2.72835,1.00174,0.00333,1,0.12861,0.1094,0.66071,3.50824,0.91505,0.000499408,0.000499408,0.000499408
4,453.228,1.19854,1.91532,1.15261,0.00333,1,0.00773,0.00605,0.5643,3.52811,0.90235,0.00065842,0.00065842,0.00065842
5,560.166,1.38585,1.68092,1.21845,0.00333,1,0.01649,0.00969,0.85085,4.43768,0.98924,0.000810304,0.000810304,0.000810304
6,665.835,1.24429,1.48966,1.15438,0.00333,1,0.39925,0.2915,0.93056,3.42282,1.0018,0.00095506,0.00095506,0.00095506
7,771.051,1.13149,1.52434,1.07649,1,0.48422,0.995,0.68638,1.06088,3.1564,1.13243,0.00109269,0.00109269,0.00109269
8,877.453,1.08593,2.05876,0.99205,1,0.94442,0.995,0.66143,1.02898,2.75067,1.07263,0.00122319,0.00122319,0.00122319
9,984.86,1.24943,1.45116,1.12972,0.88726,0.87585,0.962,0.65312,1.06474,2.55626,1.09014,0.00134656,0.00134656,0.00134656
10,1093.25,1.2433,1.40148,1.12379,0.89976,0.99763,0.973,0.68499,1.10804,2.18892,1.04804,0.0014628,0.0014628,0.0014628
11,1197.82,1.22493,1.36907,1.11373,0.89068,1,0.984,0.74001,0.97358,1.63849,1.01069,0.00157192,0.00157192,0.00157192
12,1302.15,1.27112,1.37692,1.11368,0.97297,1,0.995,0.79082,0.97003,1.58959,0.9957,0.0015644,0.0015644,0.0015644
13,1407.35,1.21852,1.24788,1.07466,0.97935,1,0.995,0.7828,0.98739,1.36596,1.01354,0.0015248,0.0015248,0.0015248
14,1515.62,1.22046,1.24002,1.08868,0.99812,1,0.995,0.77189,0.91664,1.34115,0.99303,0.0014852,0.0014852,0.0014852
15,1621.81,1.10105,1.22662,1.08142,0.87586,0.88889,0.93833,0.76187,0.87817,1.43259,0.97662,0.0014456,0.0014456,0.0014456
16,1727.56,1.41295,1.52856,1.14836,0.89061,1,0.984,0.75749,0.76938,1.57487,0.9725,0.001406,0.001406,0.001406
