Cycle No.,Start Time (s),End Time (s),Cycle Time (s),Video Link
1,9.172577467,25.1828945,16.01031703,http://127.0.0.1:9000/processed_video.mp4
2,25.1828945,41.35998567,15.17709117,http://127.0.0.1:9000/processed_video.mp4
3,41.35998567,57.53707684,16.17709117,http://127.0.0.1:9000/processed_video.mp4
4,57.42589408,73.71416801,16.28827393,http://127.0.0.1:9000/processed_video.mp4
5,73.51959818,104.599137,30.37166099,http://127.0.0.1:9000/processed_video.mp4
6,104.599137,120.59914,15.45504806,http://127.0.0.1:9000/processed_video.mp4
7,120.59914,136.7991,16.53843513,http://127.0.0.1:9000/processed_video.mp4
8,136.7991,152.7982,15.6218222,http://127.0.0.1:9000/processed_video.mp4
9,152.7982,166.5983,13.70520927,http://127.0.0.1:9000/processed_video.mp4
10,166.5983,182.5987,15.78859633,http://127.0.0.1:9000/processed_video.mp4
11,182.5987,198.7986,16.8719834,http://127.0.0.1:9000/processed_video.mp4
12,198.7986,214.7984,13.78859633,http://127.0.0.1:9000/processed_video.mp4
